metric,vanilla,binn
test_mse_noisy,0.8020483255386353,0.8270219564437866
test_r2_noisy,0.82877516746521,0.8234437108039856
test_mse_clean,0.19959720969200134,0.3046257495880127
test_r2_clean,0.9582351446151733,0.9362583756446838
network_auroc,0.5237647058823529,0.7294117647058824
network_aupr,0.23608320939983288,0.4776883471516022
transgene_recall_at_k,0.0,1.0
seed_auroc_mean,0.48,0.5805176470588235
seed_auroc_std,0.008177951622109544,0.09414757171332444
seed_pairwise_corr,0.9884919093669053,0.08781340832017345
transgene_jaccard,1.0,0.16999999999999998
